종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"000910","유니온","KOSPI","비금속","5170","-60","-1.15","80712070230"
"047400","유니온머티리얼","KOSPI","비금속","1984","-21","-1.05","83328000000"
"011330","유니켐","KOSPI","섬유·의류","1416","-28","-1.94","137347988472"
"077500","유니퀘스트","KOSPI","유통","6040","-90","-1.47","130464616080"
"002920","유성기업","KOSPI","운송장비·부품","1831","-4","-0.22","47509872500"
"000700","유수홀딩스","KOSPI","일반서비스","5500","20","0.36","143229966000"
"003470","유안타증권","KOSPI","증권","2845","25","0.89","567852258720"
"003475","유안타증권우","KOSPI","증권","3060","0","0.00","39511368720"
"072130","유엔젤","KOSPI","IT 서비스","5790","150","2.66","76401678660"
"000220","유유제약","KOSPI","제약","4430","-25","-0.56","75453314930"
"000225","유유제약1우","KOSPI","제약","4685","-90","-1.88","10620567050"
"000227","유유제약2우B","KOSPI","제약","9220","-220","-2.33","3001663200"
"001200","유진투자증권","KOSPI","증권","2600","30","1.17","251852686800"
"000100","유한양행","KOSPI","제약","121200","-9900","-7.55","9721338556800"
"000105","유한양행우","KOSPI","제약","108300","-4600","-4.07","127895802000"
"003460","유화증권","KOSPI","증권","2315","-5","-0.22","131266090725"
"003465","유화증권우","KOSPI","증권","2310","-10","-0.43","40370541750"
"008730","율촌화학","KOSPI","화학","28750","200","0.70","713000000000"
"008250","이건산업","KOSPI","종이·목재","4950","-50","-1.00","54215543250"
"025820","이구산업","KOSPI","금속","4800","-170","-3.42","160521600000"
"214320","이노션","KOSPI","일반서비스","18630","-120","-0.64","745200000000"
"088260","이리츠코크렙","KOSPI","부동산","4320","30","0.70","273635668800"
"139480","이마트","KOSPI","유통","83700","4800","6.08","2333206050300"
"457190","이수스페셜티케미컬","KOSPI","화학","50500","-6100","-10.78","1525518140000"
"007660","이수페타시스","KOSPI","전기·전자","39800","-300","-0.75","2517207476200"
"005950","이수화학","KOSPI","화학","6170","-70","-1.12","140199299630"
"015020","이스타코","KOSPI","부동산","1340","-100","-6.94","57421144000"
"093230","이아이디","KOSPI","유통","1392","0","0.00","354103029120"
"074610","이엔플러스","KOSPI","기계·장비","602","-143","-19.19","44171586858"
"102460","이연제약","KOSPI","제약","11900","210","1.80","221183050900"
"084680","이월드","KOSPI","기타제조","1287","-21","-1.61","182504570391"
"350520","이지스레지던스리츠","KOSPI","부동산","4120","-10","-0.24","151888752240"
"334890","이지스밸류리츠","KOSPI","부동산","4520","30","0.67","232524479880"
"000760","이화산업","KOSPI","유통","10320","-200","-1.90","28896000000"
"014990","인디에프","KOSPI","섬유·의류","700","-9","-1.27","52579096500"
"101140","인바이오젠","KOSPI","유통","7320","170","2.38","73523661120"
"006490","인스코비","KOSPI","통신","1339","-35","-2.55","159835088322"
"023800","인지컨트롤스","KOSPI","운송장비·부품","5890","-20","-0.34","93116170330"
"034590","인천도시가스","KOSPI","전기·가스","24500","-200","-0.81","107181473000"
"129260","인터지스","KOSPI","운송·창고","2395","-60","-2.44","71246158230"
"023810","인팩","KOSPI","운송장비·부품","5720","0","0.00","57200000000"
"249420","일동제약","KOSPI","제약","11020","-70","-0.63","309248761020"
"000230","일동홀딩스","KOSPI","제약","6300","-60","-0.94","72704520000"
"013360","일성건설","KOSPI","건설","3075","-225","-6.82","166126506000"
"003120","일성아이에스","KOSPI","제약","15230","-70","-0.46","202559000000"
"003200","일신방직","KOSPI","섬유·의류","8030","-70","-0.86","184368800000"
"007110","일신석재","KOSPI","유통","1958","-7","-0.36","151660042380"
"007570","일양약품","KOSPI","제약","10740","-260","-2.36","204980031360"
"007575","일양약품우","KOSPI","제약","11980","320","2.74","5332058400"
"008500","일정실업","KOSPI","섬유·의류","11110","170","1.55","13332000000"
"081000","일진다이아","KOSPI","화학","11560","-150","-1.28","164186391000"
"020760","일진디스플","KOSPI","전기·전자","817","-5","-0.61","42086726397"
"103590","일진전기","KOSPI","전기·전자","27600","-1000","-3.50","1316116764000"
"271940","일진하이솔루스","KOSPI","운송장비·부품","14370","-10","-0.07","521820540300"
"015860","일진홀딩스","KOSPI","기타금융","3630","-20","-0.55","179131363290"
"226320","잇츠한불","KOSPI","화학","11070","-110","-0.98","242757517050"
"317400","자이에스앤디","KOSPI","부동산","3200","-25","-0.78","124104064000"
"033240","자화전자","KOSPI","전기·전자","13340","-30","-0.22","295559305800"
"000950","전방","KOSPI","섬유·의류","19260","20","0.10","32356800000"
"079900","전진건설로봇","KOSPI","기계·장비","50100","-1400","-2.72","731086504500"
"348950","제이알글로벌리츠","KOSPI","부동산","2620","-60","-2.24","517125120000"
"194370","제이에스코퍼레이션","KOSPI","섬유·의류","17540","110","0.63","239940447100"
"025620","제이준코스메틱","KOSPI","화학","3400","-40","-1.16","15248476400"
"030000","제일기획","KOSPI","일반서비스","18030","30","0.17","2074193286750"
"271980","제일약품","KOSPI","제약","11440","-260","-2.22","168223735680"
"001560","제일연마","KOSPI","비금속","8720","-170","-1.91","86328000000"
"002620","제일파마홀딩스","KOSPI","일반서비스","7600","-60","-0.78","121397498000"
"006220","제주은행","KOSPI","은행","7800","50","0.65","250604437200"
"089590","제주항공","KOSPI","운송·창고","7050","0","0.00","568518944250"
"004910","조광페인트","KOSPI","화학","5750","-120","-2.04","73600000000"
"004700","조광피혁","KOSPI","섬유·의류","52200","400","0.77","347085003600"
"001550","조비","KOSPI","화학","10420","-50","-0.48","54103130380"
"462520","조선내화","KOSPI","비금속","14150","-80","-0.56","167750627200"
"120030","조선선재","KOSPI","금속","99300","400","0.40","124884744300"
"018470","조일알미늄","KOSPI","금속","1610","-6","-0.37","203877070810"
"002600","조흥","KOSPI","음식료·담배","164500","-300","-0.18","98700000000"
"185750","종근당","KOSPI","제약","80200","-500","-0.62","1106982956000"
"063160","종근당바이오","KOSPI","제약","20600","50","0.24","113010817200"
"001630","종근당홀딩스","KOSPI","제약","43200","-600","-1.37","216425995200"
"109070","주성코퍼레이션","KOSPI","전기·전자","4100","0","0.00","216521943000"
"044380","주연테크","KOSPI","전기·전자","327","-5","-1.51","21714059604"
"013890","지누스","KOSPI","기타제조","19140","-250","-1.29","425952584640"
"013870","지엠비코리아","KOSPI","운송장비·부품","3840","55","1.45","73237555200"
"071320","지역난방공사","KOSPI","전기·가스","50400","200","0.40","583568697600"
"088790","진도","KOSPI","유통","1805","-2","-0.11","22468177920"
"003780","진양산업","KOSPI","화학","7420","0","0.00","96460000000"
"010640","진양폴리","KOSPI","화학","5760","130","2.31","57600000000"
"100250","진양홀딩스","KOSPI","화학","3010","-15","-0.50","168244828920"
"051630","진양화학","KOSPI","화학","3550","-30","-0.84","75260000000"
"272450","진에어","KOSPI","운송·창고","9560","10","0.10","499032000000"
"011000","진원생명과학","KOSPI","제약","2070","-35","-1.66","165680802450"
"002780","진흥기업","KOSPI","건설","754","-4","-0.53","109685695730"
